Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RISK_MM;RainTomorrow
21.05.2017;Cobar;09.4;21.5;0.2;NA;NA;SSE;20;ESE;SSE;7;11;87;34;1021.4;1019.4;NA;1;14.8;20.4;No;0;No
04.02.2010;BadgerysCreek;21.3;27.5;NA;NA;NA;ENE;43;NA;ENE;NA;24;NA;69;NA;1010.7;NA;NA;NA;27.1;NA;13.8;Yes
19.06.2011;CoffsHarbour;06.2;19.2;0;2;09.7;WSW;37;WSW;SE;13;9;58;38;1015.7;1014.5;1;1;15.3;18.8;No;0;No
28.02.2015;Albury;18.1;35.1;0;NA;NA;NW;37;SSE;WNW;9;20;65;16;1008.4;1004.9;8;3;20.7;34.3;No;01.4;Yes
27.08.2015;Cobar;06.7;17;0;1;NA;WSW;39;W;WSW;7;22;84;46;1022.7;1020.3;3;6;12.2;15.6;No;01.4;Yes
30.12.2015;Cobar;20.2;35.5;0;11.6;NA;ENE;35;NE;NE;20;15;19;11;1015.8;1013.7;7;7;24.8;32.7;No;0;No
08.12.2009;Albury;18.2;24.9;0;NA;NA;SW;54;WSW;SW;13;28;58;45;1006.9;1006;7;5;21;21.8;No;01.2;Yes
31.05.2010;CoffsHarbour;8;22;0;02.2;09.7;SW;41;NW;NNE;9;9;56;51;1010;1007.5;1;3;17.2;21.2;No;0;No
18.05.2009;Cobar;06.9;21;0;3;NA;NA;NA;E;NE;11;15;53;32;1020.3;1017.3;5;7;12.7;19.2;No;07.6;Yes
19.02.2014;Albury;18.1;32.3;0;NA;NA;WNW;83;E;W;6;30;63;31;1000.7;996.2;2;NA;23.5;30.1;No;01.6;Yes
20.07.2016;BadgerysCreek;13;16.4;19;NA;NA;S;28;SSW;WSW;11;7;100;100;1020.3;1018.7;NA;NA;15.6;15.9;Yes;13.2;Yes
11.07.2015;BadgerysCreek;0.5;18.3;01.6;NA;NA;NW;59;WSW;N;4;7;100;61;NA;NA;NA;NA;05.1;17.7;Yes;12.6;Yes
26.07.2016;Albury;04.5;11.3;4;NA;NA;WNW;39;NW;NNW;15;20;85;72;1017.4;1014.4;6;8;06.9;09.7;Yes;10.6;Yes
26.03.2009;BadgerysCreek;17;31.3;24.8;NA;NA;SW;76;NA;NE;0;9;97;49;1019.9;1016.4;NA;NA;20;30;Yes;03.8;Yes
11.12.2014;BadgerysCreek;19.9;21.7;10.4;NA;NA;S;44;WSW;SSW;6;11;97;92;1005.6;1009.4;NA;NA;20.8;18.2;Yes;13.8;Yes
15.02.2014;BadgerysCreek;19.9;25;04.2;NA;NA;NNE;28;N;N;6;15;97;77;1003.5;999.1;NA;NA;20.9;24.9;Yes;5;Yes
03.12.2015;Cobar;11.3;30.7;0;09.4;NA;SE;41;SE;ESE;20;20;17;16;1022.1;1018.4;1;2;20.3;28.7;No;0;No
13.10.2014;Albury;14.8;19.3;03.4;NA;NA;W;48;W;WSW;13;33;79;56;1006.9;1007.5;7;5;16.5;15.6;Yes;03.2;Yes
13.03.2010;BadgerysCreek;13.2;23.1;0;NA;NA;SSE;35;SW;S;15;17;72;53;1035.4;1033.2;NA;NA;19.2;22.8;No;01.6;Yes
10.03.2011;Albury;18.7;20.8;13.4;NA;NA;N;22;ENE;ENE;9;13;92;95;1012.3;1011.9;8;8;19.8;19.6;Yes;10.2;Yes
07.06.2009;CoffsHarbour;10.8;20;0;01.8;06.8;NA;NA;N;E;15;9;64;59;1010.5;1007;7;2;14.7;19.2;No;0;No
17.06.2015;BadgerysCreek;12.4;15.2;15;NA;NA;NNE;15;NNE;WNW;4;7;100;100;1012.3;1009.9;NA;NA;13.4;14.9;Yes;03.6;Yes
10.03.2011;CoffsHarbour;18.3;28.8;0;04.6;07.6;NNE;44;N;NE;11;31;69;60;1015.1;1012.5;5;6;22.9;27;No;0;No
23.12.2014;BadgerysCreek;19.5;27.7;4;NA;NA;NNW;35;N;N;11;11;87;86;1014.8;1012.9;NA;NA;21.8;21.4;Yes;03.6;Yes
01.03.2013;BadgerysCreek;15.3;18.4;30.6;NA;NA;S;50;SSW;SSW;17;17;96;92;1015.2;1017.3;NA;NA;17.8;16.6;Yes;18;Yes
23.08.2010;Albury;04.1;12.8;0.2;NA;NA;NW;17;SSE;WNW;6;7;91;61;1017.7;1012.6;8;8;06.4;12;No;01.8;Yes
10.02.2009;CoffsHarbour;21;30;0;04.2;06.6;NNE;56;N;NNE;19;39;68;73;1010;1005.8;6;8;26.2;27.9;No;0;No
07.12.2011;CoffsHarbour;13.1;22.8;0.6;02.4;0;E;37;WSW;WSW;19;13;80;89;1014;1012.4;8;8;16.6;17.9;No;42.6;Yes
13.07.2011;Cobar;04.9;09.6;0.2;01.8;NA;ESE;15;ESE;W;2;6;87;86;1024.3;1023.1;8;8;06.9;08.8;No;01.6;Yes
29.07.2009;CoffsHarbour;03.6;17.7;0;02.8;09.9;SE;20;NW;SE;6;13;61;44;1024.5;1022.6;0;1;14.2;17.1;No;0;No
07.01.2011;BadgerysCreek;16.1;26.9;0;NA;NA;E;35;SSW;WSW;9;7;83;86;1014.4;1013.1;NA;NA;21.7;23.2;No;9;Yes
22.07.2016;Cobar;14.3;23.9;0.2;02.4;NA;W;57;NNW;NW;20;28;97;67;1012;1006.2;8;1;17.3;23.6;No;0;No
19.06.2011;Albury;03.3;11.8;0;NA;NA;NW;20;NA;NNE;0;7;99;92;1017.7;1015.2;8;8;07.6;11.4;No;03.6;Yes
22.04.2012;Albury;14;23;01.4;NA;NA;NE;43;NNE;NNE;7;20;95;57;1012.7;1008.7;8;8;16.4;21.8;Yes;08.2;Yes
06.04.2010;Albury;10.6;24.7;0;NA;NA;NE;33;NA;ENE;0;20;75;40;1017.9;1013.3;NA;NA;15.7;23.8;No;3;Yes
26.04.2009;Albury;08.6;12.9;21;NA;NA;NNW;63;NW;WNW;26;31;77;62;1004;1003.3;8;8;09.5;11.6;Yes;03.2;Yes
05.03.2010;BadgerysCreek;17.5;24.1;0;NA;NA;NE;20;ENE;NA;9;NA;80;NA;1012.4;NA;NA;NA;21.9;NA;No;11.2;Yes
03.11.2015;Cobar;20.4;27.7;0;08.2;NA;SW;33;ENE;SW;7;19;51;43;1012.7;1013.5;7;8;22.8;25.2;No;09.8;Yes
22.07.2011;BadgerysCreek;10.1;13.6;28.4;NA;NA;SSW;37;SSW;SSW;20;13;86;93;1019.2;1019.2;NA;NA;11.7;10.7;Yes;07.4;Yes
04.12.2013;BadgerysCreek;13.1;35.5;0;NA;NA;N;26;NA;NW;0;4;72;31;1006.3;999.8;NA;NA;21.1;32.1;No;03.6;Yes
25.04.2017;Cobar;16.9;20.6;4;NA;NA;WSW;26;WSW;WNW;11;13;95;77;1014.3;1010.7;7;8;17.4;20.4;Yes;05.8;Yes
22.10.2010;BadgerysCreek;11.1;26.8;0;NA;NA;NW;44;WSW;N;4;24;81;53;1022;1017.4;NA;NA;17.6;24.2;No;02.2;Yes
24.12.2009;Cobar;27.3;39.6;0;17.2;05.1;SSW;57;NNE;N;31;22;36;25;1008.5;1004.5;7;7;31.3;38.7;No;17.2;Yes
16.06.2015;Cobar;12.3;17.5;20;0.6;NA;NNE;22;NE;E;11;7;98;88;1018.3;1014.2;8;7;15.1;17.4;Yes;07.6;Yes
17.08.2011;CoffsHarbour;11.1;17.4;01.6;02.2;0.5;N;54;NE;N;9;26;85;66;1020.2;1016.9;7;7;16;16.9;Yes;0.8;No
04.05.2016;Cobar;10.7;22.1;0;4;NA;SSE;20;SE;W;9;11;63;44;1018.5;1016.6;NA;NA;16.4;21.8;No;0;No
26.03.2009;CoffsHarbour;15.2;26.7;0;03.8;11.4;NE;39;WNW;NNE;6;28;65;52;1022.2;1018.8;1;1;22.6;25.7;No;0;No
02.02.2011;Albury;21.9;33.7;0;NA;NA;NNE;41;NNE;N;17;20;77;49;1014.1;1011.1;NA;NA;25.4;32;No;03.4;Yes
15.02.2011;CoffsHarbour;19.2;26.4;20.2;0;02.1;S;33;SW;S;19;24;93;65;1020.2;1019;7;7;21.3;25.7;Yes;03.6;Yes
25.08.2010;CoffsHarbour;08.6;19.7;0;1;03.9;W;30;NW;NNE;9;17;60;54;1010.1;1006.9;3;8;14.6;18.4;No;0;No
16.07.2011;Cobar;04.6;11.1;07.2;02.2;NA;ENE;35;ENE;ENE;17;19;97;95;1026.4;1022.9;8;8;08.7;10.6;Yes;02.6;Yes
24.03.2017;Cobar;21.6;36;0;NA;NA;E;39;E;NNE;19;9;74;34;1013.5;1010.6;NA;3;24.1;33.9;No;0;No
08.09.2010;CoffsHarbour;12.4;19.6;0;04.8;04.1;SW;37;SW;SE;24;13;54;50;1026.2;1022.6;7;2;15.7;18.5;No;0;No
07.11.2009;CoffsHarbour;17.4;23.1;371;NA;03.5;NA;NA;SW;S;13;19;93;81;1026.6;1025.9;8;5;18.6;22;Yes;04.8;Yes
20.11.2015;Cobar;24.4;41.9;0;15.4;NA;WNW;57;NW;NNW;20;26;12;6;1014;1010.2;NA;1;34.4;41.6;No;0;No
11.03.2017;Cobar;17.8;34;0;NA;NA;S;28;NE;SE;17;11;27;12;1012.8;1009.8;NA;NA;23.2;32.8;No;0;No
08.04.2016;Cobar;16.9;27;0;09.4;NA;E;35;SSW;SSE;17;11;27;26;1023.1;1019;7;1;19.3;26.2;No;0;No
19.12.2011;CoffsHarbour;16.6;27.2;0;05.2;08.1;NNE;54;N;NNE;17;43;55;62;1014.3;1010.4;6;7;23.4;24.2;No;0;No
30.03.2017;BadgerysCreek;21.3;22.8;0.2;NA;NA;SW;43;WSW;S;9;19;NA;NA;1007.7;1007.9;NA;NA;22.7;18.3;No;39.6;Yes
11.09.2011;Cobar;04.8;17.2;0;04.8;NA;SW;54;SW;SW;17;20;69;48;1020.2;1018.1;2;7;10.7;13.9;No;01.2;Yes
08.11.2015;Cobar;12.9;29.1;0;08.8;NA;S;39;SSE;SSW;13;24;41;26;1017.2;1014.2;2;2;18.8;27.9;No;0;No
08.12.2015;Albury;21.1;30.7;0.8;NA;NA;N;52;WSW;N;11;24;81;58;1014.5;1011.4;8;7;21.4;26.7;No;10.2;Yes
29.05.2016;Cobar;06.3;14.2;0.8;01.6;NA;W;17;E;W;6;9;99;56;1021.2;1020.4;8;3;07.2;12.7;No;0;No
20.09.2016;Albury;05.3;14.9;0;NA;NA;ENE;26;ENE;NE;13;13;74;59;1018.1;1015.4;NA;4;11.8;14.3;No;12.8;Yes
13.05.2011;CoffsHarbour;05.1;21.6;0;02.6;09.9;WSW;24;NW;E;11;7;53;46;1014.5;1010.8;1;3;16.5;19.7;No;0;No
02.04.2017;Cobar;09.9;26.4;0;NA;NA;S;28;S;SSE;13;13;44;33;1023.5;1020.1;NA;6;17.4;24.4;No;0;No
17.08.2011;BadgerysCreek;05.9;13.2;0;NA;NA;N;17;W;NNE;2;11;100;100;1018.5;1013.9;NA;NA;10.6;12.6;No;12.8;Yes
29.08.2016;Cobar;06.2;18.2;0;04.2;NA;E;30;ENE;ENE;19;15;59;42;1024.7;1021.7;6;3;12;17.5;No;0;No
22.04.2013;Albury;10.6;14.6;7;NA;NA;WNW;26;NNW;W;11;11;90;79;1010.7;1010.3;8;8;11.7;14.2;Yes;01.6;Yes
30.05.2015;Cobar;13.6;14.5;0;1;NA;E;19;E;S;11;9;82;97;1022.9;1019.9;8;8;14;13.7;No;18.8;Yes
17.11.2011;BadgerysCreek;14.7;20.3;11;NA;NA;SE;13;NA;ESE;0;6;100;100;1020.3;1018.7;NA;NA;16;17;Yes;05.2;Yes
